Full_Date,Year,Growth_Pct,Value_Millions
2000-12-31,2000,0.0,199138.503
2001-12-31,2001,5.74,251956.963
2002-12-31,2002,10.68,291179.163
2003-12-31,2003,9.92,344999.246
2004-12-31,2004,12.13,410776.398
2005-12-31,2005,16.39,387287.301
2006-12-31,2006,19.33,481558.528
2007-12-31,2007,9.56,586858.367
2008-12-31,2008,3.84,518775.683
2009-12-31,2009,-6.24,343886.446
2010-12-31,2010,1.26,367806.824
2011-12-31,2011,3.04,420609.46
2012-12-31,2012,9.25,492708.119
2013-12-31,2013,7.26,576779.749
2014-12-31,2014,-0.88,438005.22
2015-12-31,2015,6.22,401016.587
2016-12-31,2016,6.01,318952.078
2017-12-31,2017,2.52,268643.632
2018-12-31,2018,4.52,220371.225
2019-12-31,2019,6.3,196906.45
2020-12-31,2020,4.59,174774.263
2021-12-31,2021,8.37,212551.486
2022-12-31,2022,15.7,246132.573
2023-12-31,2023,28.01,543836.167
2024-12-31,2024,6.22,1070535.353
